building_id,building_name,building_type,city,state,climate_zone,year_built,floor_area_sqft,number_of_floors,occupancy_count,energy_use_kwh,water_use_gallons,electricity_cost,gas_cost,maintenance_cost,carbon_emissions_kg,hvac_age,insulation_quality,window_type,energy_star_score,last_retrofit_year,renewable_energy_pct,estimated_retrofit_cost
B0001,Denver Government 70,Government,Denver,CO,Cold-Dry,1982,162360,17,620,5677353,1625875,713489.39,116711.25,197814.94,1654560,3,Poor,Double Pane,57,2006,8.9,1480637.42
B0002,Seattle Mixed Use 71,Mixed Use,Seattle,WA,Marine-Mild,1999,108879,12,544,2288251,2948436,285016.72,50972.12,158304.35,732240,13,Good,Single Pane,48,1999,0.0,850180.36
B0003,Los Angeles Government 87,Government,Los Angeles,CA,Marine-Mild,1964,127849,9,653,3028143,3410993,346860.0,54321.47,326547.96,969005,19,Good,Single Pane,40,2005,0.0,1891088.2
B0004,Chicago Retail 98,Retail,Chicago,IL,Cold-Humid,1954,25351,4,88,408865,256029,48348.05,8734.06,81257.63,123867,4,Excellent,Double Pane,94,1954,5.3,107278.79
B0005,New York Government 57,Government,New York,NY,Cold-Humid,1962,172257,14,543,3373645,1847939,384082.3,53971.65,297052.02,1079566,16,Good,Double Pane,48,2011,0.0,1705599.39
B0006,Atlanta Retail 24,Retail,Atlanta,GA,Mixed-Humid,1996,43142,5,208,919115,1108157,108229.7,15330.04,112267.99,294116,2,Excellent,Triple Pane,100,1996,0.0,249886.34
B0007,Los Angeles Government 71,Government,Los Angeles,CA,Marine-Mild,1930,182763,16,767,3354811,2547306,360441.87,62515.32,339972.09,920015,8,Fair,Double Pane,58,1995,14.3,991405.42
B0008,New York Retail 11,Retail,New York,NY,Cold-Humid,1974,26363,7,161,1098166,378493,123246.93,23999.97,81550.32,351413,7,Poor,Double Pane,45,2022,0.0,263702.82
B0009,Denver Lab 82,Lab,Denver,CO,Cold-Dry,1958,83811,7,426,7261953,1880457,727959.14,170151.7,174894.49,1602642,1,Poor,Double Pane,63,2011,31.0,916380.22
B0010,Denver Hospital 69,Hospital,Denver,CO,Cold-Dry,1952,175991,17,441,16159374,4441995,1938569.38,301220.0,600554.15,5170999,24,Poor,Double Pane,21,2010,0.0,2843130.34
B0011,Seattle Mixed Use 98,Mixed Use,Seattle,WA,Marine-Mild,1988,193735,21,1280,5014825,4540537,558072.76,113550.75,518745.29,1516467,4,Good,Single Pane,52,2009,5.5,1404316.74
B0012,Los Angeles Lab 63,Lab,Los Angeles,CA,Marine-Mild,2009,114379,8,442,11945501,2321444,1389014.17,183870.34,277009.44,3822560,9,Good,Single Pane,60,2019,0.0,1055395.72
B0013,New York Residential 55,Residential,New York,NY,Cold-Humid,2015,12163,2,31,235494,274014,25419.88,3738.38,45904.86,68752,21,Good,Double Pane,51,2018,8.8,139989.95
B0014,Seattle Office 57,Office,Seattle,WA,Marine-Mild,1978,215194,20,960,7494707,2904458,651886.04,139184.62,754299.0,2149419,11,Poor,Single Pane,26,1999,10.4,2623725.0
B0015,Atlanta Government 71,Government,Atlanta,GA,Mixed-Humid,1955,21649,5,72,452975,459219,39673.72,7005.33,56409.75,144952,1,Fair,Single Pane,76,1991,0.0,188854.88
B0016,Los Angeles Retail 26,Retail,Los Angeles,CA,Marine-Mild,1965,77715,8,300,2683032,858555,328507.75,50927.1,112225.94,577565,18,Poor,Double Pane,39,1965,32.7,1189192.56
B0017,Seattle Retail 76,Retail,Seattle,WA,Marine-Mild,1951,60342,7,252,1920596,709683,200986.33,36993.08,140477.04,614590,19,Poor,Single Pane,30,1951,0.0,1104919.39
B0018,Chicago Retail 28,Retail,Chicago,IL,Cold-Humid,1974,71501,10,196,2101204,1925103,227287.1,38858.68,170991.6,672385,16,Good,Single Pane,51,1974,0.0,1093651.91
B0019,Los Angeles Hospital 53,Hospital,Los Angeles,CA,Marine-Mild,1954,424579,19,2084,25614046,6238127,2685212.04,543940.24,1543465.75,7664189,10,Fair,Double Pane,75,1991,6.5,2519944.77
B0020,Denver Residential 58,Residential,Denver,CO,Cold-Dry,1994,34841,5,191,643802,812434,60521.22,11845.68,86790.99,206016,7,Good,Single Pane,48,2012,0.0,256166.1
B0021,New York Hospital 28,Hospital,New York,NY,Cold-Humid,1938,243464,24,1059,18323911,5731810,2148411.19,405078.71,605128.02,5302527,23,Good,Double Pane,39,2024,9.6,2377699.13
B0022,Atlanta Government 85,Government,Atlanta,GA,Mixed-Humid,1990,115994,9,322,3304269,1466035,348797.71,56499.88,399501.91,1057366,21,Fair,Double Pane,40,2020,0.0,1037768.25
B0023,Seattle Government 40,Government,Seattle,WA,Marine-Mild,1972,197410,12,807,5206419,4700234,617258.44,112968.39,358796.0,1666054,17,Fair,Double Pane,66,1998,0.0,1956502.79
B0024,Seattle Office 67,Office,Seattle,WA,Marine-Mild,1931,219777,19,559,5377121,6032317,569814.17,111116.0,523466.35,1720678,2,Excellent,Single Pane,62,2022,0.0,1817513.11
B0025,Chicago Mixed Use 25,Mixed Use,Chicago,IL,Cold-Humid,2008,229017,12,867,7915906,6355632,897052.64,156931.8,759389.92,2533090,15,Fair,Double Pane,50,2008,0.0,990552.09
B0026,Los Angeles Lab 78,Lab,Los Angeles,CA,Marine-Mild,1983,32192,4,126,4509663,894003,407301.62,91758.93,119811.46,1443092,23,Poor,Double Pane,33,1983,0.0,529954.57
B0027,Phoenix School 64,School,Phoenix,AZ,Hot-Dry,2006,18866,6,53,302120,232520,37484.1,6180.04,55587.19,96678,24,Good,Triple Pane,52,2025,0.0,177956.39
B0028,Seattle Mixed Use 12,Mixed Use,Seattle,WA,Marine-Mild,1975,35989,6,99,731952,849069,80553.6,15617.47,55947.27,222091,14,Fair,Single Pane,53,2010,5.2,298267.35
B0029,Chicago Lab 61,Lab,Chicago,IL,Cold-Humid,1978,108770,15,414,12380662,1217380,1063822.98,254883.81,189666.61,3961812,22,Good,Double Pane,58,2000,0.0,1018767.32
B0030,Atlanta Government 84,Government,Atlanta,GA,Mixed-Humid,1942,38842,8,125,715177,522860,61302.5,11815.03,64486.55,225326,5,Fair,Double Pane,67,2002,1.5,191163.14
B0031,Chicago School 54,School,Chicago,IL,Cold-Humid,1958,108892,14,629,3114539,2140667,382495.89,53336.65,281081.94,996652,12,Poor,Double Pane,47,2014,0.0,853375.41
B0032,Atlanta Hospital 32,Hospital,Atlanta,GA,Mixed-Humid,1975,186023,12,657,11529293,1927436,1124421.2,194880.03,281151.73,3689374,3,Fair,Double Pane,65,2006,0.0,964935.7
B0033,Chicago Residential 95,Residential,Chicago,IL,Cold-Humid,1981,59714,7,177,1186227,1248258,111462.14,18880.05,109843.31,370186,11,Fair,Double Pane,46,1994,2.5,272904.35
B0034,Los Angeles Government 40,Government,Los Angeles,CA,Marine-Mild,1966,25295,4,63,456367,330756,51150.99,10662.73,67947.25,146037,3,Good,Triple Pane,88,2004,0.0,140108.65
B0035,Houston Lab 29,Lab,Houston,TX,Hot-Humid,1951,174879,12,978,17535949,2171903,1519696.06,419278.28,578092.89,5611503,15,Poor,Double Pane,36,2000,0.0,1781966.36
B0036,Seattle Office 44,Office,Seattle,WA,Marine-Mild,1960,46840,7,122,885008,524464,101888.39,17850.84,73230.04,283202,20,Good,Triple Pane,61,1960,0.0,412496.89
B0037,Los Angeles Lab 87,Lab,Los Angeles,CA,Marine-Mild,1976,152021,16,634,17076922,2895843,1601011.6,394411.53,397266.97,5464615,22,Fair,Double Pane,33,2004,0.0,1595757.14
B0038,Los Angeles Hospital 81,Hospital,Los Angeles,CA,Marine-Mild,1991,261241,19,1362,18952901,5936871,2211803.96,308707.73,798500.52,6064928,22,Good,Triple Pane,55,2008,0.0,2878494.71
B0039,Houston Lab 97,Lab,Houston,TX,Hot-Humid,1983,151401,17,549,18341593,3146495,2177615.8,433442.54,271176.23,5869309,13,Good,Single Pane,60,2007,0.0,1108463.46
B0040,Seattle Hospital 91,Hospital,Seattle,WA,Marine-Mild,1983,144407,11,934,10206640,1840568,1104400.46,208832.31,449792.43,3266124,21,Good,Triple Pane,75,2023,0.0,1689890.29
B0041,Chicago Government 45,Government,Chicago,IL,Cold-Humid,1940,37719,7,99,666545,603616,67136.47,13221.96,79228.74,213294,21,Fair,Single Pane,48,2008,0.0,536930.21
B0042,Los Angeles Office 60,Office,Los Angeles,CA,Marine-Mild,1951,155025,19,526,3268137,2143725,345237.26,77715.9,410660.29,1045804,4,Good,Double Pane,65,1991,0.0,785998.37
B0043,Phoenix Mixed Use 96,Mixed Use,Phoenix,AZ,Hot-Dry,1967,165592,12,473,4591516,3228656,488753.79,88753.05,528226.28,1397523,9,Fair,Triple Pane,60,2006,4.9,687373.51
B0044,Seattle Hospital 43,Hospital,Seattle,WA,Marine-Mild,1965,236789,19,1514,17053040,5231632,1446572.66,271773.92,394068.07,5456973,4,Poor,Single Pane,50,2015,0.0,2649885.31
B0045,Denver School 55,School,Denver,CO,Cold-Dry,2003,99558,7,399,2487284,2460474,244640.13,43116.6,272267.92,795930,17,Good,Single Pane,31,2007,0.0,1358526.09
B0046,Phoenix Lab 53,Lab,Phoenix,AZ,Hot-Dry,1949,143813,13,365,8892730,2693043,938389.6,192751.56,323094.62,2491971,19,Excellent,Double Pane,81,1994,12.4,1393090.03
B0047,Atlanta School 46,School,Atlanta,GA,Mixed-Humid,1931,70197,11,185,851626,874931,103728.77,19472.45,193838.05,272520,3,Good,Double Pane,67,2010,0.0,305409.08
B0048,Seattle Retail 55,Retail,Seattle,WA,Marine-Mild,1934,67858,9,354,1409673,1113014,160984.62,24914.71,165419.55,451095,18,Fair,Double Pane,57,1992,0.0,797149.57
B0049,Atlanta Retail 29,Retail,Atlanta,GA,Mixed-Humid,1944,41281,7,114,960025,936610,104765.69,18372.14,57883.8,180662,21,Good,Double Pane,39,1944,41.2,331115.53
B0050,Los Angeles Residential 58,Residential,Los Angeles,CA,Marine-Mild,1942,60536,11,156,1093619,1323201,123661.74,24762.57,149675.56,165366,11,Good,Double Pane,51,1996,52.7,356443.15
B0051,New York Government 32,Government,New York,NY,Cold-Humid,1978,23170,4,86,796125,254589,82093.28,15685.19,66971.38,254760,8,Poor,Single Pane,51,1994,0.0,296654.45
B0052,Denver Retail 64,Retail,Denver,CO,Cold-Dry,1965,10771,3,36,253509,277676,25740.2,4856.61,12931.85,76407,20,Good,Double Pane,48,2009,5.8,126347.7
B0053,Seattle Hospital 71,Hospital,Seattle,WA,Marine-Mild,1972,499132,26,1626,24942292,8177378,2396057.32,440649.82,653584.55,3767304,21,Fair,Double Pane,42,2025,52.8,4847117.04
B0054,Los Angeles Office 46,Office,Los Angeles,CA,Marine-Mild,1999,110074,14,638,2238737,3064574,209837.32,52575.82,306018.45,716395,11,Fair,Double Pane,68,2022,0.0,491077.5
B0055,Chicago School 12,School,Chicago,IL,Cold-Humid,2002,55329,11,157,990070,1545562,120483.94,18980.07,173980.17,231164,16,Good,Double Pane,56,2007,27.0,632991.83
B0056,Houston Hospital 38,Hospital,Houston,TX,Hot-Humid,2008,448533,26,1153,31271018,7494265,2967921.69,672664.03,632754.55,8626193,21,Good,Single Pane,26,2022,13.8,4842308.65
B0057,Seattle Office 67,Office,Seattle,WA,Marine-Mild,1980,34148,4,108,636039,546783,59803.56,14864.75,103037.35,151411,14,Good,Triple Pane,63,2021,25.6,202245.99
B0058,Chicago Office 41,Office,Chicago,IL,Cold-Humid,1959,26726,4,79,647314,564043,81050.08,13390.55,76126.73,207140,4,Good,Single Pane,56,2019,0.0,237741.27
B0059,New York Lab 72,Lab,New York,NY,Cold-Humid,1964,65334,12,335,6587760,1210268,569397.64,103245.02,246595.72,2108083,19,Good,Triple Pane,66,1964,0.0,639216.96
B0060,Atlanta Hospital 38,Hospital,Atlanta,GA,Mixed-Humid,1931,134636,10,583,12099818,2379188,1245776.19,199315.64,404389.16,3831995,12,Fair,Double Pane,55,2017,1.0,721783.41
B0061,Seattle Lab 65,Lab,Seattle,WA,Marine-Mild,1968,41013,5,106,2871282,567451,244942.29,59909.31,141385.4,918810,11,Fair,Triple Pane,78,2012,0.0,243469.03
B0062,Denver Lab 88,Lab,Denver,CO,Cold-Dry,1969,52592,10,186,2955472,963367,248412.58,60247.14,96958.82,945751,1,Excellent,Triple Pane,97,2018,0.0,234091.21
B0063,Phoenix Residential 11,Residential,Phoenix,AZ,Hot-Dry,2000,18989,4,83,321860,483881,37578.37,4942.67,27967.35,49637,11,Fair,Double Pane,49,2000,51.8,81367.7
B0064,New York Mixed Use 83,Mixed Use,New York,NY,Cold-Humid,1998,160236,16,415,4321971,2531361,540478.05,72642.54,534506.58,1198839,2,Poor,Triple Pane,73,2012,13.3,1797189.33
B0065,Seattle Retail 82,Retail,Seattle,WA,Marine-Mild,1934,57985,11,203,1817595,1051948,201808.08,35875.01,81888.62,561820,18,Good,Double Pane,54,2021,3.4,500884.79
B0066,Seattle Retail 54,Retail,Seattle,WA,Marine-Mild,1946,51180,8,147,1966302,1409818,218876.32,33025.78,71023.3,606717,16,Good,Single Pane,53,2007,3.6,655392.62
B0067,Denver Lab 29,Lab,Denver,CO,Cold-Dry,1985,173724,14,520,17795106,3606340,2087440.0,371830.26,336680.89,5694434,19,Good,Double Pane,51,2008,0.0,1656525.85
B0068,Los Angeles School 35,School,Los Angeles,CA,Marine-Mild,1992,81313,8,215,1630830,1174985,196631.73,30998.42,173522.49,521865,5,Poor,Triple Pane,61,2000,0.0,668505.94
B0069,Los Angeles Hospital 14,Hospital,Los Angeles,CA,Marine-Mild,1958,211102,16,614,13971080,5260640,1426409.23,240839.47,641247.82,4372318,4,Fair,Single Pane,60,2024,2.2,1375825.32
B0070,New York Retail 53,Retail,New York,NY,Cold-Humid,1969,31754,5,86,591941,347088,65634.58,10076.22,45415.98,169448,14,Excellent,Single Pane,52,1969,10.5,273156.33
B0071,Los Angeles Residential 98,Residential,Los Angeles,CA,Marine-Mild,1986,148128,9,403,2726704,4067360,239796.81,57406.45,512103.66,749025,11,Good,Single Pane,44,2008,14.2,1345293.89
B0072,Chicago School 26,School,Chicago,IL,Cold-Humid,2003,54301,11,148,1074993,1351177,120412.98,21709.13,87649.82,343997,19,Excellent,Double Pane,72,2005,0.0,503503.1
B0073,New York Office 86,Office,New York,NY,Cold-Humid,1955,113588,9,640,3152230,1903973,304090.99,65697.76,322424.39,1008713,16,Fair,Triple Pane,62,2017,0.0,1164703.6
B0074,New York Hospital 44,Hospital,New York,NY,Cold-Humid,1949,243194,17,1445,20391820,4704216,2123311.32,310583.3,532232.16,6525382,15,Fair,Double Pane,63,2014,0.0,1254964.88
B0075,Atlanta Residential 79,Residential,Atlanta,GA,Mixed-Humid,1995,76737,9,233,1164930,1039692,121299.2,19513.78,215256.08,372777,13,Good,Single Pane,50,2020,0.0,655664.51
B0076,Denver Retail 45,Retail,Denver,CO,Cold-Dry,1993,65226,8,260,2264326,868975,218284.93,50133.7,233910.64,724584,24,Poor,Triple Pane,44,2020,0.0,789549.38
B0077,Chicago Lab 56,Lab,Chicago,IL,Cold-Humid,2013,108036,15,359,13288602,1767640,1248445.15,292677.89,360710.3,4252352,20,Fair,Double Pane,60,2024,0.0,1152765.68
B0078,Atlanta School 78,School,Atlanta,GA,Mixed-Humid,1944,95498,13,285,2210029,1894733,207172.09,40925.67,237942.23,707209,21,Poor,Double Pane,32,1944,0.0,1183349.2
B0079,Phoenix Retail 48,Retail,Phoenix,AZ,Hot-Dry,1993,55688,8,361,1429696,1154050,144184.75,26167.17,156182.85,457502,9,Fair,Triple Pane,68,2020,0.0,315401.59
B0080,Phoenix Residential 17,Residential,Phoenix,AZ,Hot-Dry,2007,122049,14,390,1865997,2445874,214006.25,35802.61,324890.99,597119,13,Good,Triple Pane,76,2013,0.0,530987.1
B0081,Chicago Government 71,Government,Chicago,IL,Cold-Humid,1967,154644,16,435,3928238,1805116,372381.26,86779.19,430229.61,1257036,1,Fair,Double Pane,67,2000,0.0,667846.82
B0082,Chicago Retail 75,Retail,Chicago,IL,Cold-Humid,1963,7712,3,32,230352,99575,26956.71,4646.51,17095.28,73712,6,Fair,Triple Pane,84,2008,0.0,36974.09
B0083,Denver Lab 39,Lab,Denver,CO,Cold-Dry,1993,150791,14,813,19654078,2808992,1909915.8,402070.14,533118.6,6289305,6,Poor,Single Pane,48,2020,0.0,1747314.42
B0084,Phoenix Hospital 17,Hospital,Phoenix,AZ,Hot-Dry,1972,247438,21,894,25874159,6376450,2475267.3,586387.06,308304.85,8279731,6,Poor,Double Pane,53,1992,0.0,2223535.58
B0085,Chicago Government 98,Government,Chicago,IL,Cold-Humid,1935,26349,4,66,504744,591769,43719.05,9885.31,87381.79,161518,2,Fair,Single Pane,59,2015,0.0,194455.93
B0086,Chicago Residential 72,Residential,Chicago,IL,Cold-Humid,1999,101801,8,405,1553266,2784135,146691.02,25169.49,331349.85,497045,16,Fair,Single Pane,40,2008,0.0,1419214.78
B0087,Phoenix Mixed Use 94,Mixed Use,Phoenix,AZ,Hot-Dry,1947,174533,17,1050,3519003,4461741,331581.88,73425.4,488100.98,1126081,2,Good,Double Pane,67,2003,0.0,835103.31
B0088,New York School 18,School,New York,NY,Cold-Humid,2012,108668,8,308,2380001,2055796,238539.6,45341.7,381687.26,761600,2,Fair,Double Pane,68,2015,0.0,626462.2
B0089,Phoenix Retail 17,Retail,Phoenix,AZ,Hot-Dry,1933,60307,8,352,1413740,982681,164750.9,29621.17,99668.43,393782,18,Poor,Triple Pane,41,1933,13.0,966923.93
B0090,Denver Mixed Use 90,Mixed Use,Denver,CO,Cold-Dry,1955,144560,17,422,5406909,3121090,574606.83,83145.08,473673.52,1730211,15,Poor,Double Pane,52,2003,0.0,1636981.14
B0091,Denver Lab 41,Lab,Denver,CO,Cold-Dry,1984,97762,8,516,8383036,1459414,1031024.12,176746.61,120546.29,2682571,2,Poor,Double Pane,40,1993,0.0,992433.75
B0092,New York Lab 56,Lab,New York,NY,Cold-Humid,1952,157819,10,465,11429254,3126470,1432727.06,267861.63,257011.16,3089203,12,Good,Double Pane,68,2020,15.5,889400.13
B0093,Houston Government 86,Government,Houston,TX,Hot-Humid,1966,105352,14,310,3023093,1358542,324794.44,67432.43,367865.17,967389,18,Poor,Single Pane,36,1966,0.0,1617961.99
B0094,Chicago Mixed Use 30,Mixed Use,Chicago,IL,Cold-Humid,1994,246019,20,809,8372156,2616560,965483.92,140839.13,530575.88,2679090,5,Good,Single Pane,60,2005,0.0,1691735.33
B0095,Chicago Government 13,Government,Chicago,IL,Cold-Humid,1963,102009,10,328,2404369,1758827,290253.18,47103.98,150030.46,657327,19,Good,Single Pane,39,1963,14.6,1088903.29
B0096,Atlanta Mixed Use 69,Mixed Use,Atlanta,GA,Mixed-Humid,2002,212646,12,774,6678456,4106373,684464.08,109039.65,495135.65,2073186,2,Good,Double Pane,69,2003,3.0,1105004.43
B0097,Seattle Hospital 54,Hospital,Seattle,WA,Marine-Mild,1945,401967,18,1299,30437538,5215640,3451939.01,617038.66,1211505.88,9740012,12,Excellent,Double Pane,78,1996,0.0,2237012.23
B0098,Los Angeles Hospital 78,Hospital,Los Angeles,CA,Marine-Mild,2004,188904,15,961,19095256,3577142,1954356.18,411800.18,304732.61,6110482,20,Poor,Single Pane,14,2014,0.0,2823638.49
B0099,Phoenix Government 39,Government,Phoenix,AZ,Hot-Dry,1954,185685,14,1152,4753700,2753059,430533.35,107803.51,522001.12,1521184,1,Good,Triple Pane,75,1999,0.0,871204.48
B0100,Atlanta School 24,School,Atlanta,GA,Mixed-Humid,1931,58165,8,184,1055477,1346797,132161.12,18269.03,99756.11,337752,24,Poor,Double Pane,15,2010,0.0,831224.87
B0101,Phoenix Office 50,Office,Phoenix,AZ,Hot-Dry,1931,237818,12,720,5600135,5767229,599501.4,114892.96,809054.15,1792043,11,Good,Triple Pane,67,1993,0.0,1018317.47
